name,height,mass,hair_color,skin_color,eye_color,birth_year,gender,homeworld,species
Nien Nunb,160,68,none,grey,black,NA,male,Sullust,Sullustan
Qui-Gon Jinn,193,89,brown,fair,blue,92BBY,male,NA,Human
Nute Gunray,191,90,none,mottled green,red,NA,male,Cato Neimoidia,Neimodian
Finis Valorum,170,NA,blond,fair,blue,91BBY,male,Coruscant,Human
Jar Jar Binks,196,66,none,orange,orange,52BBY,male,Naboo,Gungan
Roos Tarpals,224,82,none,grey,orange,NA,male,Naboo,Gungan
Rugor Nass,206,NA,none,green,orange,NA,male,Naboo,Gungan
Ric Olié,183,NA,brown,fair,blue,NA,male,Naboo,NA
Watto,137,NA,black,"blue, grey",yellow,NA,male,Toydaria,Toydarian
Sebulba,112,40,none,"grey, red",orange,NA,male,Malastare,Dug
Quarsh Panaka,183,NA,black,dark,brown,62BBY,male,Naboo,NA
Shmi Skywalker,163,NA,black,fair,brown,72BBY,female,Tatooine,Human
Darth Maul,175,80,none,red,yellow,54BBY,male,Dathomir,Zabrak
Bib Fortuna,180,NA,none,pale,pink,NA,male,Ryloth,Twi'lek
Ayla Secura,178,55,none,blue,hazel,48BBY,female,Ryloth,Twi'lek
Dud Bolt,94,45,none,"blue, grey",yellow,NA,male,Vulpter,Vulptereen
Gasgano,122,NA,none,"white, blue",black,NA,male,Troiken,Xexto
Ben Quadinaros,163,65,none,"grey, green, yellow",orange,NA,male,Tund,Toong
Mace Windu,188,84,none,dark,brown,72BBY,male,Haruun Kal,Human
Ki-Adi-Mundi,198,82,white,pale,yellow,92BBY,male,Cerea,Cerean
Kit Fisto,196,87,none,green,black,NA,male,Glee Anselm,Nautolan
Eeth Koth,171,NA,black,brown,brown,NA,male,Iridonia,Zabrak
Adi Gallia,184,50,none,dark,blue,NA,female,Coruscant,Tholothian
Saesee Tiin,188,NA,none,pale,orange,NA,male,Iktotch,Iktotchi
Yarael Poof,264,NA,none,white,yellow,NA,male,Quermia,Quermian
Plo Koon,188,80,none,orange,black,22BBY,male,Dorin,Kel Dor
Mas Amedda,196,NA,none,blue,blue,NA,male,Champala,Chagrian
Gregar Typho,185,85,black,dark,brown,NA,male,Naboo,Human
Cordé,157,NA,brown,light,brown,NA,female,Naboo,Human
